time_s,unix_time,gripper_command,gripper_position,gripper_error,present_current_raw,present_load_raw,present_voltage_raw,on_motor_total,not_motor_total,combined_total,asymmetry,abs_current,abs_load,aligned_time_s,eflesh_smooth,current_smooth,voltage_smooth,position_smooth,eflesh_above_contact,actual_extra_closure,rigid_equivalent,estimated_deformation,squeeze
33.146976709365845,1788289443.0259542,17.845761631612493,19.27409261576971,-1.428330984157217,4,104,117,12617.75897921373,10945.981952238237,23563.74093145197,0.0709470126937302,4,104,33.14369344711304,23563.74093145197,4.0,117.0,19.27409261576971,8001.743134244383,2.6282853566958693,4.201246340984734,-1.5729609842888648,2
33.19698977470398,1788289443.0759673,17.845761631612493,19.27409261576971,-1.428330984157217,4,104,118,12628.302244260894,10969.68674233776,23597.98898659865,0.0702863071452854,4,104,33.19370651245117,23597.98898659865,4.0,117.0,19.27409261576971,8035.991189391067,2.6282853566958693,4.2257337004146125,-1.5974483437187432,2
33.24708795547485,1788289443.1260655,17.845761631612493,19.27409261576971,-1.428330984157217,4,104,117,12636.587189201153,10967.879267962971,23604.46645716413,0.0706945833436415,4,104,33.243804693222046,23604.46645716413,4.0,117.0,19.27409261576971,8042.468659956545,2.6282853566958693,4.230365091868929,-1.60207973517306,2
33.29725646972656,1788289443.176234,17.845761631612493,19.27409261576971,-1.428330984157217,5,104,117,12645.762689046487,10959.219170951135,23604.98185999762,0.0714486258917007,5,104,33.293973207473755,23604.98185999762,4.0,117.0,19.27409261576971,8042.984062790036,2.6282853566958693,4.230733604894875,-1.602448248199006,2
33.34740853309631,1788289443.226386,17.845761631612493,19.27409261576971,-1.428330984157217,4,104,117,12645.520241233566,10993.93857849692,23639.458819730484,0.0698654599215345,4,104,33.344125270843506,23639.458819730484,5.0,117.0,19.27409261576971,8077.461022522899,2.6282853566958693,4.2553846311038726,-1.6270992744080033,2
33.397444009780884,1788289443.2764215,17.78202676864245,19.27409261576971,-1.492065847127261,5,108,118,12649.952922424858,10996.844860777746,23646.797783202604,0.0699083265651042,5,108,33.39416074752808,23639.458819730484,5.0,118.0,19.27409261576971,8077.461022522899,2.6282853566958693,4.2553846311038726,-1.6270992744080033,2
33.44733381271362,1788289443.326311,17.78202676864245,19.27409261576971,-1.492065847127261,5,108,118,12666.751747033592,10984.93984616112,23651.69159319471,0.0711074679054405,5,108,33.44405031204224,23646.797783202604,5.0,118.0,19.27409261576971,8084.79998599502,2.6282853566958693,4.2606319899864395,-1.6323466332905703,2
33.49731779098511,1788289443.376295,17.78202676864245,19.27409261576971,-1.492065847127261,5,108,118,12652.38117036513,10986.000973978244,23638.382144343374,0.0704946804824224,5,108,33.49403429031372,23651.69159319471,5.0,118.0,19.27409261576971,8089.693795987127,2.6282853566958693,4.264131064130796,-1.6358457074349264,2
33.54763126373291,1788289443.4266088,17.78202676864245,19.27409261576971,-1.492065847127261,6,108,117,12679.509528738,11003.346653682822,23682.856182420823,0.0707753685680594,6,108,33.5443480014801,23682.856182420823,5.0,117.0,19.27409261576971,8120.858385213238,2.6282853566958693,4.286413745427465,-1.6581283887315958,2
33.597591400146484,1788289443.476569,17.78202676864245,19.27409261576971,-1.492065847127261,4,108,117,12677.946791610872,11008.808406168831,23686.755197779705,0.0704671607193584,4,108,33.59430813789368,23686.755197779705,5.0,117.0,19.27409261576971,8124.75740057212,2.6282853566958693,4.289201541409066,-1.660916184713197,2
33.64756274223328,1788289443.5265405,17.78202676864245,19.27409261576971,-1.492065847127261,6,108,117,12681.43038902754,11020.392826354291,23701.82321538183,0.070080581885164,6,108,33.64427971839905,23701.82321538183,5.0,117.0,19.27409261576971,8139.825418174247,2.6282853566958693,4.299975173994587,-1.6716898172987174,2
33.69755411148071,1788289443.5765316,17.78202676864245,19.27409261576971,-1.492065847127261,5,108,117,12693.685169610038,11013.693738688224,23707.378908298266,0.0708636512463117,5,108,33.694270849227905,23706.51002450724,5.0,117.0,19.27409261576971,8144.512227299654,2.6282853566958693,4.303326242519253,-1.6750408858233836,2
33.74775528907776,1788289443.6267328,17.78202676864245,19.27409261576971,-1.492065847127261,5,108,117,12692.157742769536,11025.95478953172,23718.112532301257,0.0702502339074681,5,108,33.74447202682495,23707.378908298266,5.0,117.0,19.27409261576971,8145.381111090681,2.6282853566958693,4.303947494429837,-1.6756621377339673,2
33.79794120788574,1788289443.6769187,17.718291905672405,19.27409261576971,-1.555800710097305,5,112,117,12694.970778403687,11011.539246103552,23706.51002450724,0.0710113606161279,5,112,33.794657945632935,23718.112532301257,5.0,117.0,19.27409261576971,8156.114735093672,2.6282853566958693,4.311622035591975,-1.6833366788961062,2
